City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Busselton,AU,65.95,clear sky,-33.65,115.3333,Observatory Guest House
3,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
4,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
8,Kavieng,PG,83.71,light rain,-2.5744,150.7967,Nusa Island Retreat
10,Chuy,UY,61.09,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
12,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
13,Buchanan,LR,75.74,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
14,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
15,Faanui,PF,81.37,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Touros,BR,76.44,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
17,Isangel,VU,80.85,light rain,-19.55,169.2667,Tanna Lodge
19,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
22,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Bengkulu,ID,84.25,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
29,Rikitea,PF,78.57,few clouds,-23.1203,-134.9692,People ThankYou
32,Hobart,AU,75.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
37,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
40,Avera,US,65.71,overcast clouds,33.194,-82.5271,
42,Puerto Ayora,EC,74.53,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Carnarvon,AU,73.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
44,Hilo,US,71.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
51,Mamontovo,RU,68.65,overcast clouds,52.7055,81.6244,Hostel Postoyaliy Dvor
52,Shubarshi,KZ,60.46,broken clouds,48.5872,57.1869,
53,Cape Town,ZA,67.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
58,Sibolga,ID,84.87,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
61,Tel Aviv-Yafo,IL,86.38,clear sky,32.0805,34.7805,Ben Yehuda apartments
62,Saint-Philippe,RE,84.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
64,Ilo,PE,64.85,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
65,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
66,Salalah,OM,87.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
67,Beloha,MG,85.95,broken clouds,-25.1667,45.05,
71,Arraial Do Cabo,BR,71.15,clear sky,-22.9661,-42.0278,Pousada Porto Praia
73,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
80,Tual,ID,84.76,light rain,-5.6667,132.75,Grand Vilia Hotel
81,Kangundo,KE,75.54,broken clouds,-1.2979,37.3471,Kmercy Suites
82,Tautira,PF,80.06,light rain,-17.7333,-149.15,Pension Oaoa
85,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
89,Vao,NC,77.27,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
90,Lukulu,ZM,74.01,overcast clouds,-14.3707,23.242,Ruth Guest House
91,Byron Bay,AU,71.49,few clouds,-28.65,153.6167,Backpackers Inn
92,Sao Felix Do Xingu,BR,70.88,light rain,-6.6447,-51.995,Rio Xingu Camping
96,Suez,EG,89.67,clear sky,29.9737,32.5263,Green House
99,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
103,Horconcitos,PA,66.22,overcast clouds,8.4682,-81.8007,KAFETE S.A
105,Gaozhou,CN,75.06,overcast clouds,21.9392,110.8461,望江楼旅业
107,Chengde,CN,70.66,overcast clouds,40.9725,117.9361,Super 8 Hotel
109,Kawai,JP,63.82,overcast clouds,34.2333,135.85,Hanaya Tokubei
110,Nakamura,JP,65.59,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
111,Mongagua,BR,67.66,overcast clouds,-24.0931,-46.6208,Hostel Aloha Brasil
116,Camana,PE,66.65,overcast clouds,-16.6228,-72.7111,Hostal Morales
121,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Ereymentau,KZ,67.42,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
124,Lorengau,PG,81.93,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Atuona,PF,79.3,light rain,-9.8,-139.0333,Villa Enata
129,Hithadhoo,MV,83.61,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Cidreira,BR,65.03,broken clouds,-30.1811,-50.2056,Hotel Castelo
131,Vryburg,ZA,62.82,light rain,-26.9566,24.7284,The Times Premier Lodge
132,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
133,Cosamaloapan,MX,74.73,scattered clouds,18.3667,-95.8,Hotel Catedral
