City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Hermanus,-34.4187,19.2345,63.81,64,7,10.85,ZA,clear sky
1,Busselton,-33.65,115.3333,65.95,45,3,13.38,AU,clear sky
2,Ketchikan,55.3422,-131.6461,37.38,69,0,0.0,US,clear sky
3,Port Alfred,-33.5906,26.891,68.18,74,91,1.01,ZA,overcast clouds
4,Vaini,-21.2,-175.2,77.16,94,20,3.44,TO,few clouds
5,Montrose,38.4166,-108.2673,37.51,68,0,8.43,US,clear sky
6,Albany,42.6001,-73.9662,36.41,83,32,11.01,US,scattered clouds
7,Khatanga,71.9667,102.5,24.06,91,100,10.49,RU,overcast clouds
8,Kavieng,-2.5744,150.7967,83.71,73,83,13.18,PG,light rain
9,Glendive,47.1053,-104.7125,28.02,73,100,17.27,US,overcast clouds
10,Chuy,-33.6971,-53.4616,61.09,85,69,5.35,UY,broken clouds
11,Tuktoyaktuk,69.4541,-133.0374,-4.23,96,79,7.76,CA,broken clouds
12,Avarua,-21.2078,-159.775,75.25,94,98,2.3,CK,overcast clouds
13,Buchanan,5.8808,-10.0467,75.74,86,100,4.97,LR,light rain
14,Chicama,-7.8447,-79.1469,61.34,87,55,3.98,PE,broken clouds
15,Faanui,-16.4833,-151.75,81.37,72,12,13.47,PF,few clouds
16,Touros,-5.1989,-35.4608,76.44,89,85,4.32,BR,overcast clouds
17,Isangel,-19.55,169.2667,80.85,79,100,1.88,VU,light rain
18,Rawson,-43.3002,-65.1023,51.53,80,2,10.92,AR,clear sky
19,Porto Novo,6.4965,2.6036,80.42,70,99,5.86,BJ,overcast clouds
20,Sananduva,-27.9497,-51.8067,47.07,96,2,3.91,BR,clear sky
21,Norman Wells,65.282,-126.8329,-7.56,71,20,3.44,CA,few clouds
22,Kapaa,22.0752,-159.319,73.72,93,75,17.27,US,broken clouds
23,Willowmore,-33.2926,23.4895,57.13,63,3,1.9,ZA,clear sky
24,Bengkulu,-3.8004,102.2655,84.25,77,60,6.35,ID,broken clouds
25,Mae Sai,20.4335,99.8762,96.66,29,57,3.47,TH,broken clouds
26,Abbeville,50.1,1.8333,53.49,61,16,10.22,FR,few clouds
27,Mehamn,71.0357,27.8492,37.4,92,100,21.05,NO,overcast clouds
28,Praia Da Vitoria,38.7333,-27.0667,57.76,88,40,9.91,PT,scattered clouds
29,Rikitea,-23.1203,-134.9692,78.57,66,12,13.42,PF,few clouds
30,Naryan-Mar,67.6713,53.087,30.11,87,99,13.85,RU,overcast clouds
31,Jamestown,42.097,-79.2353,32.52,74,100,5.01,US,light snow
32,Hobart,-42.8794,147.3294,75.25,44,75,17.27,AU,broken clouds
33,Tokur,53.1333,132.9,28.17,74,100,8.9,RU,overcast clouds
34,Warrington,53.3925,-2.5802,58.44,70,0,5.75,GB,clear sky
35,Punta Arenas,-53.15,-70.9167,46.51,93,100,14.97,CL,overcast clouds
36,Qaanaaq,77.484,-69.3632,-21.28,70,0,8.25,GL,clear sky
