City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-04-13 09:33:10,-33.9258,18.4232,74.12,76,40,11.5
1,Ushuaia,AR,2022-04-13 09:37:35,-54.8,-68.3,40.66,70,40,32.21
2,Guerrero Negro,MX,2022-04-13 09:37:35,27.9769,-114.0611,56.77,71,3,14.5
3,Rikitea,PF,2022-04-13 09:37:36,-23.1203,-134.9692,78.31,72,6,19.06
4,Birstonas,LT,2022-04-13 09:37:36,54.6167,24.0333,53.73,45,28,3.69
5,Harper,LR,2022-04-13 09:37:36,4.375,-7.7169,84.99,71,50,10.92
6,Joshimath,IN,2022-04-13 09:37:37,30.5667,79.5667,75.65,28,46,9.78
7,Dingle,PH,2022-04-13 09:37:37,10.9995,122.6711,76.71,87,100,2.13
8,Mataura,NZ,2022-04-13 09:37:37,-46.1927,168.8643,46.47,97,33,1.43
9,Saint-Philippe,RE,2022-04-13 09:37:38,-21.3585,55.7679,80.19,86,81,14.2
10,Agua Verde,MX,2022-04-13 09:37:38,22.9,-106.05,62.69,82,9,2.57
11,Qaanaaq,GL,2022-04-13 09:37:38,77.484,-69.3632,-0.96,97,100,2.01
12,Busselton,AU,2022-04-13 09:37:39,-33.65,115.3333,65.43,60,0,16.89
13,Rulenge,TZ,2022-04-13 09:37:39,-2.7175,30.6325,75.04,69,73,4.85
14,Punta Arenas,CL,2022-04-13 09:37:39,-53.15,-70.9167,46.51,76,20,23.02
15,Tasiilaq,GL,2022-04-13 09:37:40,65.6145,-37.6368,28.56,65,100,7.45
16,Pacific Grove,US,2022-04-13 09:37:40,36.6177,-121.9166,46.42,83,20,3.44
17,Beringovskiy,RU,2022-04-13 09:37:40,63.05,179.3167,25.3,96,100,16.75
18,Butaritari,KI,2022-04-13 09:37:41,3.0707,172.7902,81.88,77,14,14.29
19,Varhaug,NO,2022-04-13 09:37:41,58.6147,5.6457,45.86,71,100,29.95
20,Fayaoue,NC,2022-04-13 09:37:41,-20.65,166.5333,78.76,75,31,9.44
21,Barrow,US,2022-04-13 09:37:42,71.2906,-156.7887,-5.78,77,0,5.75
22,Atasu,KZ,2022-04-13 09:37:42,48.6814,71.6433,67.26,22,22,10.36
23,Ilulissat,GL,2022-04-13 09:37:42,69.2167,-51.1,21.22,86,75,8.05
24,Takoradi,GH,2022-04-13 09:37:43,4.8845,-1.7554,81.28,76,99,10.6
25,Calbuco,CL,2022-04-13 09:37:43,-41.768,-73.1273,45.61,88,83,3.42
26,Nikolskoye,RU,2022-04-13 09:37:43,59.7035,30.7861,48.87,55,6,7.83
27,Kuito,AO,2022-04-13 09:37:44,-12.3833,16.9333,69.03,74,81,4.74
28,Bluff,NZ,2022-04-13 09:37:44,-46.6,168.3333,46.8,73,64,11.3
29,East London,ZA,2022-04-13 09:37:44,-33.0153,27.9116,77.94,83,20,6.91
30,Faanui,PF,2022-04-13 09:37:45,-16.4833,-151.75,81.81,73,10,13.89
31,Koshurnikovo,RU,2022-04-13 09:37:45,54.1667,93.3,37.71,45,99,4.63
32,Broome,US,2022-04-13 09:37:45,42.2506,-75.833,50.67,69,100,4.61
33,Sisophon,KH,2022-04-13 09:37:46,13.5859,102.9737,88.72,49,81,10.96
34,Clyde River,CA,2022-04-13 09:37:46,70.4692,-68.5914,-16.37,83,75,4.61
35,Vestmannaeyjar,IS,2022-04-13 09:37:46,63.4427,-20.2734,43.79,87,75,29.93
36,Pangnirtung,CA,2022-04-13 09:37:47,66.1451,-65.7125,-0.4,85,100,10.36
37,Lagoa,PT,2022-04-13 09:37:47,39.05,-27.9833,61.9,80,87,34.72
38,Pevek,RU,2022-04-13 09:37:47,69.7008,170.3133,3.33,88,100,1.68
39,Khatanga,RU,2022-04-13 09:37:48,71.9667,102.5,19.89,95,100,10.54
40,Haines Junction,CA,2022-04-13 09:37:48,60.7522,-137.5108,6.75,72,7,0.0
41,San Vicente,AR,2022-04-13 09:37:48,-26.6167,-54.1333,62.46,100,96,2.44
42,Saskylakh,RU,2022-04-13 09:37:49,71.9167,114.0833,0.23,96,84,8.97
43,Bredasdorp,ZA,2022-04-13 09:37:49,-34.5322,20.0403,75.58,55,26,11.18
44,Chokurdakh,RU,2022-04-13 09:37:49,70.6333,147.9167,-10.23,100,54,3.29
45,Walvis Bay,NA,2022-04-13 09:37:50,-22.9575,14.5053,67.15,63,99,5.75
46,Leningradskiy,RU,2022-04-13 09:37:50,69.3833,178.4167,-4.49,95,49,13.87
47,Bethel,US,2022-04-13 09:38:51,41.3712,-73.414,50.94,68,75,0.0
48,Mahebourg,MU,2022-04-13 09:38:51,-20.4081,57.7,84.49,74,40,19.57
49,Chuy,UY,2022-04-13 09:38:51,-33.6971,-53.4616,54.0,74,64,6.24
50,Ichnya,UA,2022-04-13 09:38:52,50.8626,32.3942,40.48,93,100,15.97
51,Kirundo,BI,2022-04-13 09:38:52,-2.5833,30.1667,77.07,62,34,4.05
52,Lebu,CL,2022-04-13 09:38:53,-37.6167,-73.65,48.51,85,59,16.87
53,Kaeo,NZ,2022-04-13 09:38:53,-35.1,173.7833,61.32,89,90,6.69
54,Atuona,PF,2022-04-13 09:38:54,-9.8,-139.0333,78.8,82,67,18.01
55,Mar Del Plata,AR,2022-04-13 09:38:54,-38.0023,-57.5575,50.88,81,0,10.0
56,College,US,2022-04-13 09:38:54,64.8569,-147.8028,28.08,70,75,0.0
57,Hazorasp,UZ,2022-04-13 09:38:55,41.3194,61.0742,82.24,19,13,10.07
58,Milas,TR,2022-04-13 09:38:55,37.3164,27.7839,65.55,18,0,13.8
59,Norman Wells,CA,2022-04-13 09:38:56,65.282,-126.8329,10.44,48,0,5.75
60,Kahului,US,2022-04-13 09:38:56,20.8947,-156.47,74.84,73,20,5.75
